number	bepoch	bini	binlabel	codelabel	duration	enable	flag	item	latency	type	epoch
79.000000	79.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	39.000000	42951.000000	B2(178)	79.000000
80.000000	80.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	40.000000	43501.000000	B1(190)	80.000000
81.000000	81.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	1.000000	44051.000000	B2(170)	81.000000
82.000000	82.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	2.000000	44601.000000	B1(190)	82.000000
83.000000	83.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	3.000000	45151.000000	B2(178)	83.000000
84.000000	84.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	4.000000	45701.000000	B3(134)	84.000000
85.000000	85.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	5.000000	46251.000000	B4(114)	85.000000
86.000000	86.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	6.000000	46801.000000	B1(190)	86.000000
87.000000	87.000000	3.000000	B3(132)	""	0.000000	1.000000	0.000000	7.000000	47351.000000	B3(132)	87.000000
88.000000	88.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	8.000000	47901.000000	B3(134)	88.000000
89.000000	89.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	9.000000	48451.000000	B4(114)	89.000000
90.000000	90.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	10.000000	49001.000000	B2(170)	90.000000
91.000000	91.000000	2.000000	B2(174)	""	0.000000	1.000000	0.000000	11.000000	49551.000000	B2(174)	91.000000
92.000000	92.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	12.000000	50101.000000	B4(114)	92.000000
93.000000	93.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	13.000000	50651.000000	B1(194)	93.000000
94.000000	94.000000	1.000000	B1(196)	""	0.000000	1.000000	0.000000	14.000000	51201.000000	B1(196)	94.000000
95.000000	95.000000	3.000000	B3(138)	""	0.000000	1.000000	0.000000	15.000000	51751.000000	B3(138)	95.000000
96.000000	96.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	16.000000	52301.000000	B4(114)	96.000000
97.000000	97.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	17.000000	52851.000000	B4(114)	97.000000
98.000000	98.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	18.000000	53401.000000	B4(114)	98.000000
99.000000	99.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	19.000000	53951.000000	B2(176)	99.000000
100.000000	100.000000	3.000000	B3(132)	""	0.000000	1.000000	0.000000	20.000000	54501.000000	B3(132)	100.000000
101.000000	101.000000	3.000000	B3(138)	""	0.000000	1.000000	0.000000	21.000000	55051.000000	B3(138)	101.000000
102.000000	102.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	22.000000	55601.000000	B4(114)	102.000000
103.000000	103.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	23.000000	56151.000000	B4(114)	103.000000
104.000000	104.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	24.000000	56701.000000	B1(194)	104.000000
105.000000	105.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	25.000000	57251.000000	B1(194)	105.000000
106.000000	106.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	26.000000	57801.000000	B1(190)	106.000000
107.000000	107.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	27.000000	58351.000000	B4(114)	107.000000
108.000000	108.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	28.000000	58901.000000	B2(170)	108.000000
109.000000	109.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	29.000000	59451.000000	B3(136)	109.000000
110.000000	110.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	30.000000	60001.000000	B1(194)	110.000000
111.000000	111.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	31.000000	60551.000000	B3(134)	111.000000
112.000000	112.000000	1.000000	B1(190)	""	0.000000	1.000000	0.000000	32.000000	61101.000000	B1(190)	112.000000
113.000000	113.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	33.000000	61651.000000	B2(170)	113.000000
114.000000	114.000000	2.000000	B2(170)	""	0.000000	1.000000	0.000000	34.000000	62201.000000	B2(170)	114.000000
115.000000	115.000000	4.000000	B4(116)	""	0.000000	1.000000	0.000000	35.000000	62751.000000	B4(116)	115.000000
116.000000	116.000000	2.000000	B2(178)	""	0.000000	1.000000	0.000000	36.000000	63301.000000	B2(178)	116.000000
117.000000	117.000000	1.000000	B1(194)	""	0.000000	1.000000	0.000000	37.000000	63851.000000	B1(194)	117.000000
118.000000	118.000000	3.000000	B3(136)	""	0.000000	1.000000	0.000000	38.000000	64401.000000	B3(136)	118.000000
119.000000	119.000000	2.000000	B2(176)	""	0.000000	1.000000	0.000000	39.000000	64951.000000	B2(176)	119.000000
120.000000	120.000000	3.000000	B3(134)	""	0.000000	1.000000	0.000000	40.000000	65501.000000	B3(134)	120.000000
121.000000	121.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	1.000000	66051.000000	B4(114)	121.000000
122.000000	122.000000	4.000000	B4(114)	""	0.000000	1.000000	0.000000	2.000000	66601.000000	B4(114)	122.000000
123.000000	123.000000	3.000000	B3(138)	""	0.000000	1.000000	0.000000	3.000000	67151.000000	B3(138)	123.000000
